"","TransIdentifier","Liquid_Src","Non_Liquid_Src","Amount","Purchase","difference"
"1177","FYE-CCV4-VCR",1e+05,0,2e+05,1e+05,1e+05
"1179","FYE-CGTJ-L2L",0,81757,163514,81757,81757
"1183","FYF-B3GD-UXO",43000,0,129000,43000,86000
"1186","FYF-BU3Z-OKB",40037.9,0,40037.8984,40037.9,0
"1194","FYG-2FCV-TYB",150000,0,3e+05,150000,150000
"1216","FYI-CIJE-7SK",36400,0,72800,36400,36400
"1228","FYJ-BW4A-LZ5",140244.92,0,140244.9219,140244.92,0
"1231","FYJ-BYJH-UEI",50000,0,1e+05,50000,50000
"1235","FYJ-CBTN-LRI",0,26976.91,26976.9102,26976.91,0
"1238","FYJ-CDID-VDW",56400,0,112800,56400,56400
"1242","FYJ-CJSM-D37",0,74510.74,74510.7422,74510.74,0
"1243","FYJ-EBYV-6B2",61133.54,0,122267.0781,61133.54,61133
"1260","FYK-BZKH-IXP",114309.27,0,114309.2734,114309.27,0
"1266","FYL-B4IO-ECL",39948.29,0,279638.0312,39948.29,239690
"1267","FYL-B6TP-ZA4",53189.4,0,53189.3984,53189.4,0
"1271","FYL-BYOQ-RTM",47286.18,0,378289.4375,47286.18,331003
"1276","FYM-B3RC-O3M",0,53200,159600,53200,106400
"1277","FYM-B3WM-DKO",15000,10500,51000,25500,25500
"1280","FYM-B74U-64Y",1e+05,0,2e+05,1e+05,1e+05
"1281","FYM-B7TG-A2R",102600,0,307800,102600,205200
"1294","FYM-BYJ3-RFJ",2e+05,0,4e+05,2e+05,2e+05
"1295","FYM-BYQR-GGO",210148.23,0,210148.2344,210148.23,0
"1312","FYM-CGTG-ORO",127679.68,0,127679.6797,127679.68,0
"1315","FYM-CHPY-XMT",127679.68,0,127679.6797,127679.68,0
"1324","FYM-RYBL-ZT2",0,186856.55,186856.5469,186856.55,0
"1337","FYP-B7P6-FUI",22695,0,45390,22695,22695
"1339","FYP-BQKH-KW7",23000,0,46000,23000,23000
"1348","FYP-CAR5-UC7",33122.61,0,33122.6094,33122.61,0
"1349","FYP-CATQ-TKP",346465.21,0,346465.2188,346465.21,0
"1356","FYP-CETU-ATK",353000,0,706000,353000,353000
"1364","FYP-CGKK-55D",50885.55,0,50885.5508,50885.55,0
"1378","FYQ-BRUE-FES",1e+05,0,2e+05,1e+05,1e+05
"1387","FYQ-BXMX-HI5",64033.85,0,256135.4062,64033.85,192101
"1389","FYQ-BY3V-3AQ",28000,0,56000,28000,28000
"1391","FYQ-BYTC-AE5",0,102415.89,102415.8906,102415.89,0
"1392","FYQ-CA2L-ZN6",150000,0,3e+05,150000,150000
"1396","FYQ-CCOU-YBT",28500,56950,256350,85450,170900
"1398","FYQ-CEM7-VRB",187000,0,1122000,187000,935000
"1401","FYQ-CGWT-TD7",29150.79,0,29150.7891,29150.79,0
"1404","FYQ-CLIN-MLC",0,27760.1,83280.2969,27760.1,55520
